RUN_ID	MODE	STOPWORDS	MIN_FREQ	MIN_PMI	MAP	POSTINGS_COST	DICT_SIZE	TERMS_SIZE	NGRAMS	AVGDL	SUMDF
20250821_170644_phrases_english_-1_5_4	phrases	english	5	4	0.2225	621.1947	4068	109670	1468	78.33571428571429	76123
20250821_170757_phrases_english_-1_5_5	phrases	english	5	5	0.2217	694.3894	3835	111400	1235	79.57142857142857	76183
20250821_170908_phrases_english_-1_5_6	phrases	english	5	6	0.2350	825.6549	3536	113742	936	81.24428571428571	76390
20250821_171021_phrases_english_-1_5_7	phrases	english	5	7	0.2649	987.9823	3280	116753	680	83.395	76603
20250821_171130_phrases_english_-1_5_8	phrases	english	5	8	0.2889	1143.9292	3035	121771	435	86.97928571428571	77476
20250821_171244_phrases_english_-1_5_9	phrases	english	5	9	0.2949	1200.2301	2870	124598	270	88.99857142857142	78102
20250821_171401_phrases_english_-1_5_10	phrases	english	5	10	0.3053	1218.9381	2768	126202	166	90.14428571428572	78608
20250821_171511_phrases_english_-1_5_11	phrases	english	5	11	0.3085	1223.3363	2702	126846	97	90.60428571428571	78836
20250821_171623_phrases_english_-1_5_12	phrases	english	5	12	0.3068	1225.1858	2656	127310	49	90.93571428571428	79002
20250821_171734_phrases_english_-1_5_13	phrases	english	5	13	0.3083	1225.6283	2632	127516	23	91.08285714285714	79084
20250821_171844_phrases_english_-1_5_14	phrases	english	5	14	0.3093	1225.6460	2621	127595	10	91.13928571428572	79117
20250821_171954_phrases_english_-1_5_15	phrases	english	5	15	0.3093	1225.6460	2615	127645	1	91.175	79132
20250821_172103_phrases_english_-1_5_16	phrases	english	5	16	0.3093	1225.6460	2614	127648	0	91.17714285714285	79131
20250821_172207_phrases_english_-1_5_17	phrases	english	5	17	0.3093	1225.6460	2614	127648	0	91.17714285714285	79131
20250821_172308_phrases_english_-1_5_24	phrases	english	5	24	0.3093	1225.6460	2614	127648	0	91.17714285714285	79131
20250821_172410_phrases_english_-1_5_48	phrases	english	5	48	0.3093	1225.6460	2614	127648	0	91.17714285714285	79131
20250821_172511_phrases_english_-1_6_0	phrases	english	6	0	0.2264	595.6903	3704	108857	1354	77.755	75943
20250821_172620_phrases_english_-1_6_1	phrases	english	6	1	0.2284	602.4779	3696	108863	1346	77.75928571428571	75853
20250821_172728_phrases_english_-1_6_2	phrases	english	6	2	0.2280	607.5044	3664	108937	1314	77.81214285714286	75682
20250821_172837_phrases_english_-1_6_3	phrases	english	6	3	0.2289	623.4513	3609	109185	1259	77.98928571428571	75616
20250821_172945_phrases_english_-1_6_4	phrases	english	6	4	0.2408	651.3451	3490	110059	1140	78.61357142857143	75586
20250821_173055_phrases_english_-1_6_5	phrases	english	6	5	0.2352	721.2920	3326	111572	976	79.69428571428571	75634
20250821_173203_phrases_english_-1_6_6	phrases	english	6	6	0.2511	844.1504	3090	113712	740	81.22285714285714	75810
20250821_173311_phrases_english_-1_6_7	phrases	english	6	7	0.2727	1003.4867	2883	116571	533	83.265	76015
20250821_173420_phrases_english_-1_6_8	phrases	english	6	8	0.2981	1154.7611	2686	121408	336	86.72	76833
20250821_173529_phrases_english_-1_6_9	phrases	english	6	9	0.3023	1210.2035	2556	124095	206	88.63928571428572	77428
20250821_173639_phrases_english_-1_6_10	phrases	english	6	10	0.3055	1228.5752	2468	125638	116	89.74142857142857	77916
