RUN_ID,MODE,STOPWORDS,MIN_FREQ,MIN_PMI,MAP,POSTINGS_COST,DICT_SIZE,TERMS_SIZE,NGRAMS,AVGDL,SUMDF,p_value_map,p_value_cip,p_MAP <0.05,p_CiP < 0.05
20250821_170321_phrases_english_-1_5_1,phrases,english,5,1,0.1984,525.9107,4352,108267,1752,77.3335714285714,76440,0.00000000548986844623981,4.35260167431515E-032,TRUE,TRUE
20250821_170431_phrases_english_-1_5_2,phrases,english,5,2,0.1994,539.6786,4304,108355,1704,77.3964285714286,76213,0.00000000151978821622999,4.35260167431515E-032,TRUE,TRUE
20250821_170537_phrases_english_-1_5_3,phrases,english,5,3,0.2023,557.4554,4228,108681,1628,77.6292857142857,76144,0.00000000857770862513633,4.35260167431515E-032,TRUE,TRUE
20250821_170644_phrases_english_-1_5_4,phrases,english,5,4,0.2106,613.8839,4068,109670,1468,78.3357142857143,76123,0.00000159694706438547,4.35260167431515E-032,TRUE,TRUE
20250821_170757_phrases_english_-1_5_5,phrases,english,5,5,0.2135,729.3929,3835,111400,1235,79.5714285714286,76183,0.00000910265937433386,4.35260167431515E-032,TRUE,TRUE
20250821_170908_phrases_english_-1_5_6,phrases,english,5,6,0.227,865.5179,3536,113742,936,81.2442857142857,76390,0.0108179056258186,2.43784212360536E-030,TRUE,TRUE
20250821_171021_phrases_english_-1_5_7,phrases,english,5,7,0.2408,971.8929,3280,116753,680,83.395,76603,0.00779961618488937,2.48255027614838E-027,TRUE,TRUE
20250821_171130_phrases_english_-1_5_8,phrases,english,5,8,0.2561,1144.2411,3035,121771,435,86.9792857142857,77476,0.319727320700265,7.12186033028623E-016,FALSE,TRUE
20250821_171244_phrases_english_-1_5_9,phrases,english,5,9,0.2691,1215.9554,2870,124598,270,88.9985714285714,78102,1,0.0000329681365195935,FALSE,TRUE
20250821_171401_phrases_english_-1_5_10,phrases,english,5,10,0.2729,1244.8393,2768,126202,166,90.1442857142857,78608,0.757189074142407,0.849550187314453,FALSE,FALSE
20250821_171511_phrases_english_-1_5_11,phrases,english,5,11,0.276,1249.2589,2702,126846,97,90.6042857142857,78836,0.606295937693965,1,FALSE,FALSE
20250821_171623_phrases_english_-1_5_12,phrases,english,5,12,0.2783,1250.5893,2656,127310,49,90.9357142857143,79002,0.411910073680977,0.849550187314453,FALSE,FALSE
20250821_171734_phrases_english_-1_5_13,phrases,english,5,13,0.2796,1250.8214,2632,127516,23,91.0828571428571,79084,0.218053681870499,0.569220227803576,FALSE,FALSE
20250821_171844_phrases_english_-1_5_14,phrases,english,5,14,0.2777,1250.9464,2621,127595,10,91.1392857142857,79117,0.0789755480010821,0.569220227803576,FALSE,FALSE
20250821_171954_phrases_english_-1_5_15,phrases,english,5,15,0.2775,1250.9821,2615,127645,1,91.175,79132,0.0789755480010821,0.569220227803576,FALSE,FALSE
20250821_172103_phrases_english_-1_5_16,phrases,english,5,16,0.2775,1250.9821,2614,127648,0,91.1771428571429,79131,0.0789755480010821,0.569220227803576,FALSE,FALSE
20250821_172207_phrases_english_-1_5_17,phrases,english,5,17,0.2775,1250.9821,2614,127648,0,91.1771428571429,79131,0.0789755480010821,0.569220227803576,FALSE,FALSE
20250821_172308_phrases_english_-1_5_24,phrases,english,5,24,0.2775,1250.9821,2614,127648,0,91.1771428571429,79131,0.0789755480010821,0.569220227803576,FALSE,FALSE
20250821_172410_phrases_english_-1_5_48,phrases,english,5,48,0.2775,1250.9821,2614,127648,0,91.1771428571429,79131,0.0789755480010821,0.569220227803576,FALSE,FALSE
20250821_172511_phrases_english_-1_6_0,phrases,english,6,0,0.2112,554.7143,3704,108857,1354,77.755,75943,0.0000160285861455755,4.35260167431515E-032,TRUE,TRUE
20250821_172620_phrases_english_-1_6_1,phrases,english,6,1,0.211,566.9375,3696,108863,1346,77.7592857142857,75853,0.00000627761029659056,4.35260167431515E-032,TRUE,TRUE
20250821_172728_phrases_english_-1_6_2,phrases,english,6,2,0.2108,579.2679,3664,108937,1314,77.8121428571429,75682,0.0000023518927469992,4.35260167431515E-032,TRUE,TRUE
20250821_172837_phrases_english_-1_6_3,phrases,english,6,3,0.2125,595.7679,3609,109185,1259,77.9892857142857,75616,0.00000627761029659056,4.35260167431515E-032,TRUE,TRUE
20250821_172945_phrases_english_-1_6_4,phrases,english,6,4,0.2154,650.6071,3490,110059,1140,78.6135714285714,75586,0.0000276078699662452,8.62816615085482E-032,TRUE,TRUE
20250821_173055_phrases_english_-1_6_5,phrases,english,6,5,0.2203,756.8571,3326,111572,976,79.6942857142857,75634,0.000284528618916252,8.62816615085482E-032,TRUE,TRUE
20250821_173203_phrases_english_-1_6_6,phrases,english,6,6,0.2367,883.8125,3090,113712,740,81.2228571428571,75810,0.078485027339018,2.48255027614838E-027,FALSE,TRUE
20250821_173311_phrases_english_-1_6_7,phrases,english,6,7,0.2454,988.5714,2883,116571,533,83.265,76015,0.0389579334013117,9.7567866938747E-025,TRUE,TRUE
