RUN_ID,MODE,STOPWORDS,MIN_FREQ,MIN_PMI,MAP,POSTINGS_COST,DICT_SIZE,TERMS_SIZE,NGRAMS,AVGDL,SUMDF, p_value_map,p_value_cip,p_MAP <0.05,p_CiP < 0.05
20250821_153515_phrases_english_-1_0_12,phrases,english,0,12,0.3027,1436.3982,7220,136986,1305,97.8471428571429,85910,0.105342268874605,2.16586324612925E-018,FALSE,TRUE
20250821_153639_phrases_english_-1_0_13,phrases,english,0,13,0.3064,1423,6885,137827,779,98.4478571428572,86301,0.140895423598481,0.000000000000454747350886464,FALSE,TRUE
20250821_153752_phrases_english_-1_0_14,phrases,english,0,14,0.306,1423.3451,6714,138289,451,98.7778571428571,86539,1,0.0000019073486328125,FALSE,TRUE
20250821_153909_phrases_english_-1_0_15,phrases,english,0,15,0.3061,1423.3894,6627,138579,258,98.985,86697,1,0.0000152587890625,FALSE,TRUE
20250821_154022_phrases_english_-1_0_16,phrases,english,0,16,0.3061,1423.5487,6593,138733,129,99.095,86796,0.803619384765625,0.015625,FALSE,TRUE
20250821_154138_phrases_english_-1_0_17,phrases,english,0,17,0.306,1423.6018,6598,138829,44,99.1635714285714,86872,1,0.5,FALSE,FALSE
20250821_154243_phrases_english_-1_0_24,phrases,english,0,24,0.306,1423.6195,6639,138873,0,99.195,86916,,,TRUE,TRUE
20250821_154350_phrases_english_-1_0_48,phrases,english,0,48,0.306,1423.6195,6639,138873,0,99.195,86916,,,TRUE,TRUE
20250821_154453_phrases_english_-1_1_0,phrases,english,1,0,0.1517,594.2832,21928,102342,16988,73.1014285714286,77971,1.92758172156539E-018,2.19556013660145E-032,TRUE,TRUE
20250821_154658_phrases_english_-1_1_1,phrases,english,1,1,0.1557,616.6195,21685,102526,16746,73.2328571428571,77793,1.07559596722483E-016,2.19556013660145E-032,TRUE,TRUE
20250821_154907_phrases_english_-1_1_2,phrases,english,1,2,0.1611,645.0796,21052,103046,16109,73.6042857142857,77506,7.12186033028623E-016,2.19556013660145E-032,TRUE,TRUE
20250821_155115_phrases_english_-1_1_3,phrases,english,1,3,0.1577,682.3363,20102,104132,15148,74.38,77606,7.12186033028623E-016,2.19556013660145E-032,TRUE,TRUE
20250821_155322_phrases_english_-1_1_4,phrases,english,1,4,0.1666,728.6283,18662,106284,13680,75.9171428571429,77921,4.3777338031346E-015,2.19556013660145E-032,TRUE,TRUE
20250821_155521_phrases_english_-1_1_5,phrases,english,1,5,0.1841,833.4779,16899,109637,11883,78.3121428571429,78641,0.00000000000186756659097355,2.19556013660145E-032,TRUE,TRUE
20250821_155649_phrases_english_-1_1_6,phrases,english,1,6,0.2083,975.0088,14860,114007,9804,81.4335714285714,79598,0.00000000095930630140507,2.19556013660145E-032,TRUE,TRUE
20250821_155840_phrases_english_-1_1_7,phrases,english,1,7,0.24,1158.7345,12928,119090,7820,85.0642857142857,80545,0.000237468014627488,4.63336374160792E-029,TRUE,TRUE
20250821_160021_phrases_english_-1_1_8,phrases,english,1,8,0.2673,1326.5133,11156,126009,5981,90.0064285714286,82155,0.210765793978782,4.63336374160792E-029,FALSE,TRUE
20250821_160158_phrases_english_-1_1_9,phrases,english,1,9,0.2849,1400.531,9605,130791,4290,93.4221428571429,83560,0.92194882762643,9.02294327085531E-029,FALSE,TRUE
20250821_160317_phrases_english_-1_1_10,phrases,english,1,10,0.2955,1424.6637,8539,133875,2996,95.625,84619,1,3.77813381138913E-025,FALSE,TRUE
